route_id,trip_id,service_id,direction_id,shape_id
INN-202,1286-79821-30000-2-1a001b34,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-60000-2-0ea4de7d,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-30000-2-d31ffd57,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-41400-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-69300-2-a36755b0,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-37800-2-1ecf1ff2,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-61200-2-cf520a00,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-75600-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-48600-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-30000-2-3eba3d07,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79823-30360-2-3e3faf8d,Saturday-1,0,1286-79823-209afed3
INN-202,1286-79821-25200-2-e529ae0a,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-47400-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-36600-2-6292aa1f,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-76200-2-680d406d,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-63600-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-37200-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-60600-2-cf520a00,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79823-22680-2-692542ed,Saturday-1,0,1286-79823-209afed3
INN-202,1286-79821-51600-2-027b732b,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-28200-2-3eba3d07,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-30600-2-d31ffd57,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-43200-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-55800-2-e30bf04a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-55200-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-43800-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-55200-2-6fdaa2b0,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-36000-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-49200-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-60600-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-65400-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-31200-2-d31ffd57,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-63000-2-cf520a00,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-80100-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-50400-2-027b732b,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79831-85500-2-05e7f485,Saturday-1,0,1286-79831-67e249b9
INN-202,1286-79821-79200-2-45063cb2,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-52200-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79831-86400-2-698e32dc,Daily-1,0,1286-79831-67e249b9
INN-202,1286-79821-66600-2-d847952f,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-25800-2-9b19a41f,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79823-22380-2-4ea24acd,Weekday-1,0,1286-79823-209afed3
INN-202,1286-79821-35400-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-45000-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-51600-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-69300-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-34200-2-84fc65a2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-75600-2-2cc29338,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-41400-2-1ecf1ff2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-46200-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-43800-2-6cea8abc,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-27000-2-6f34802a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-33600-2-84fc65a2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-46800-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-49200-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
